,title,id,max_occur_words,max_occur_number,content_original,content
10,1986 Virginia Slims of Oklahoma,11,6,6,"1986 Virginia Slims of Oklahoma

The 1986 Virginia Slims of Oklahoma was a women's tennis tournament played on indoor hard courts at the Summerfield Racquet Club in Oklahoma City, Oklahoma in the United States and was part of the 1985 Virginia Slims World Championship Series. It was the inaugural edition of the tournament and ran from February 24 through March 2, 1986. Fifth-seeded Marcella Mesker won the singles title.

 Marcella Mesker defeated Lori McNeil 6–4, 4–6, 6–3

 Marcella Mesker / Pascale Paradis defeated Lori McNeil / Catherine Suire 2–6, 7–6, 6–1",1986 virginia slim oklahoma 1986 virginia slim oklahoma woman tenni tournament play indoor hard court summerfield racquet club oklahoma citi oklahoma unit 1985 virginia slim championship series. inaugur edit tournament februari 24 march 2 1986. seed marcella mesker singl title. marcella mesker defeat lori mcneil 6 4 4 6 6 3 marcella mesker pascal paradi defeat lori mcneil catherin suir 2 6 7 6 6 1
11,Say Man,12,diddley,6,"Say Man

""Say Man"" is a song by American musician Bo Diddley. Written under his real name of Ellas McDaniel, it was recorded by Bo Diddley in 1959 and released as a single on Checker 931. 

The recording became his biggest US pop hit, reaching number 20 on the Hot 100, and number three on the R&B chart. It arose from a jam session between Diddley and his maracas player Jerome Green, and featured Diddley and Green trading insults. 

Bo Diddley said of the song: ""A lot of the things I did in the Chess studios, we were just goofin' around... They played it back, and it shocked all of us! Of course, they cut out all the dirty parts."" Music critic Maury Dean, while rejecting the idea that the track is ""the first rap song"", says that it is ""the first major soul tune to feature a total spoken patter of pal put-downs to a rockin' beat... Bo's lightning right hand chops chords like sugar cane. The incessant beat throbs into the hot American evening nocturne of streetwise savvy. Rap - with a side of ghetto-blast humor.""

The recording also appeared on the album ""Go Bo Diddley"".",man man song american musician bo diddley. write real ella mcdaniel record bo diddley 1959 releas singl checker 931. record big pop hit reach number 20 hot 100 number chart. aros jam session diddley maraca player jerom green featur diddley green trade insults. bo diddley song lot chess studio goofin around... play shock us! cut dirti parts. music critic mauri dean reject idea track rap song major soul tune featur total spoken patter pal down rockin beat... bo lightn hand chop chord sugar cane. incess beat throb hot american even nocturn streetwis savvy. rap ghetto blast humor. record appear album bo diddley .
12,Church of the Holy Trinity Binegar,13,church,5,"Church of the Holy Trinity, Binegar

The Anglican Church of the Holy Trinity, Binegar, Somerset, England is Norman but has been rebuilt and restored several times since. It is a Grade II* listed building.

The original church was Norman however it was largely rebuilt in the 15th century with just the original tower remaining. A Victorian restoration was carried out in 1858.

The need for ongoing maintainence of the joists of the floor and slates on the roof mean the building has been added to the Heritage at Risk Register.

The parish is part of the benefice of Ashwick with Oakhill and Binegar, which is within the Diocese of Bath and Wells.

The stone building has an asbestos slate roof. It consists of a three-bay nave, two-bay chancel and north transept, with an organ chamber, vestry and porch. The three-stage tower is supported by diagonal buttresses. In 1937 three new bells were added in the tower.

Inside the church is a 15th century font and Jacobean altar table. There is a white marble tablet in the church which is a memorial to men from Binegar who died in World War I and a second for the fatalities of World War II.",church holi triniti binegar anglican church holi triniti binegar somerset england norman rebuilt restor time since. grade ii list building. origin church norman rebuilt 15th centuri origin tower remaining. victorian restor carri 1858. ongo maintain joist floor slate roof build heritag risk register. parish benefic ashwick oakhil binegar dioces bath wells. stone build asbesto slate roof. consist bay nave bay chancel north transept organ chamber vestri porch. stage tower support diagon buttresses. 1937 bell tower. church 15th centuri font jacobean altar table. white marbl tablet church memori men binegar die war fatal war ii.
13,Bernadette Kelly,14,depart,4,"Bernadette Kelly

Bernadette Kelly is a senior British civil servant who has served as Permanent Secretary for the Department for Transport since 18 April 2017.

Kelly joined the Civil Service after graduating, and worked in the Department for Communities and Local Government, the Treasury, Cabinet Office and the Number 10 Policy Unit. She was a Director General at the Department for Business, Innovation and Skills from 2010 until 2015, when she became Director General for the Rail Group in the Department for Trasnport, a post she held until she was appointed Permanent Secretary for that deparmtent on 18 April 2017. Her promotion followed Philip Rutnam's move to the Home Office.

Kelly was made a Companion of the Order of the Bath in 2010.",bernadett kelli bernadett kelli senior british civil servant serv perman secretari depart transport 18 april 2017. kelli join civil servic graduat work depart commun local govern treasuri cabinet offic number 10 polici unit. director gener depart busi innov skill 2010 2015 director gener rail group depart trasnport post held appoint perman secretari deparmt 18 april 2017. promot philip rutnam office. kelli companion order bath 2010.
14,Jean Pierre Coursodon,15,cinéma,3,"Jean-Pierre Coursodon

Jean-Pierre Coursodon (born 23 July 1935 in Paris) is a French critic and film historian. He is also a translator of books on cinema. He has collaborated to the magazines ""Cinéma"" (1958–1965/ 1977–1986), ""Anthologie du Cinéma"" (1966–1969), ""Film Comment"" (1973–1975), ""Cinéma d'Aujourd'hui"" (1975–1976), ""Positif"" (1987).",jean pierr coursodon jean pierr coursodon born 23 juli 1935 pari french critic film historian. translat book cinema. collabor magazin cinéma 1958 1965 1977 1986 anthologi du cinéma 1966 1969 film comment 1973 1975 cinéma aujourd hui 1975 1976 positif 1987 .
15,Bunopus crassicauda,16,gecko,3,"Bunopus crassicauda

Bunopus crassicauda, also known as the thickhead rock gecko or thick-tailed tuberculated gecko is a species of gecko endemic to Iran.",bunopu crassicauda bunopu crassicauda thickhead rock gecko tail tubercul gecko speci gecko endem iran.
16,1979 Paris–Roubaix,17,roubaix,4,"1979 Paris–Roubaix

The 1979 Paris–Roubaix was the 77th edition of the Paris–Roubaix cycle race and was held on 8 April 1979. The race started in Compiègne and finished in Roubaix. The race was won by Francesco Moser of the Sanson team.",1979 pari roubaix 1979 pari roubaix 77th edit pari roubaix cycl race held 8 april 1979. race start compiègn finish roubaix. race francesco moser sanson team.
17,Palazzo Fraccia,18,floor balconi,6,"Palazzo Fraccia

Palazzo Fraccia is a mansion located in the town centre of Alcamo, in the province of Trapani.

This palace was built by Agostino Fraccia, baron of Favarotta and Furni since 1697, in order to have a mansion fiiting to the new social position he had acquired from his noble family; it can certainly be considered one of the most beautiful civil buildings built in the 18th century in Alcamo.

On the Baroque style façade there are eight entrances on the ground floor: the central one is full of decorations; the portal, made with travertine, owing to the restoration of the road, has a raised bottom with simple pedestals, two capitals and a lowered arch (finely decorated at its arrises), surmounted by two brackets with leaf and fruit decorations, supporting the balcony of honour.

The portal of the balcony is also rich with baroque decorations, with two pilasters, other garnitures on both sides, ending with three masks, the biggest one in the middle; the family emblem dominates the tympanum: it is formed by a heart confixed by an arrow and surmounted by the baronial crown.

The other five balconies on the first floor are made with carved stone; the brackets are fluted and have some decorations; on the second floor there are five stone balconies, two windows and two recent balconies. 

As soon as you enter the lobby, there is an atrium: today, of the two ancient staircases, there is only the one leading to the first floor; in the late 19th century they built another staircase leading up to the second floor.

The palace is situated between the Church of Saint Nicholas of Bari (along corso 6 Aprile) and via Porta Stella, where there are two other entrances on the first floor, leading to its eight rooms with accessories, and to the ten rooms existing on the second floor.

The terrace dominates the Church, with a recent balcony which was added in the last century; during the 1950s the building has changed its ownership from the marquess Patti di Santa Rosalia to the families Manno, La Colla, Lucchese and Ippolito.",palazzo fraccia palazzo fraccia mansion locat town centr alcamo provinc trapani. palac built agostino fraccia baron favarotta furni 1697 order mansion fiit social posit acquir nobl family; consid beauti civil build built 18th centuri alcamo. baroqu style façad entranc ground floor central decorations; portal travertin restor road rais simpl pedest capit lower arch fine decor arris surmount bracket leaf fruit decor support balconi honour. portal balconi rich baroqu decor pilast garnitur side mask big middle; famili emblem domin tympanum form heart confix arrow surmount baroni crown. balconi floor carv stone; bracket flute decorations; floor stone balconi window balconies.  enter lobbi atrium today ancient staircas lead floor; late 19th centuri built staircas lead floor. palac situat church saint nichola bari corso 6 april porta stella entranc floor lead room accessori room exist floor. terrac domin church balconi century; 1950 build chang ownership marquess patti di santa rosalia famili manno la colla lucches ippolito.
18,Chester Snow,19,univers,5,"Chester Snow

Chester Snow (June 1, 1881 – January 13, 1970) was an American applied mathematician and physicist, known for his work on formulas for computing capacitance and inductance.

Snow was born in Salt Lake City, Utah. After attending Ogden High School and Utah Agricultural College, Snow matriculated at Harvard University in 1903 and graduated there with an A.B. in 1906. At Brigham Young University he was a professor of physics from 1906 to 1911 and a professor of mathematics from 1911 to 1912. From 1912 to 1914 he was a fellow in physics at the University of Wisconsin, where he received his Ph.D. in 1914. At the University of Idaho mathematics department he was an associate professor from 1914. In 1920 he resigned from the University of Idaho to accept a position as a physicist at the Bureau of Standards in Washington, D.C. In 1924 he was an Invited Speaker of the ICM in Toronto.",chester snow chester snow june 1 1881 januari 13 1970 american appli mathematician physicist work formula comput capacit inductance. snow born salt lake citi utah. attend ogden high school utah agricultur colleg snow matricul harvard univers 1903 graduat a.b. 1906. brigham young univers professor physic 1906 1911 professor mathemat 1911 1912. 1912 1914 fellow physic univers wisconsin receiv ph.d. 1914. univers idaho mathemat depart associ professor 1914. 1920 resign univers idaho accept posit physicist bureau standard washington d.c. 1924 invit speaker icm toronto.
19,2017 MBC Entertainment Awards,20,mbc,5,"2017 MBC Entertainment Awards

The 2017 MBC Entertainment Awards () presented by Munhwa Broadcasting Corporation (MBC), took place on December 29, 2017 at MBC Public Hall in Sangam-dong, Mapo-gu, Seoul. It was hosted by Kim Hee-chul, Han Jin and Yang Se-hyung. The nominees were chosen from MBC variety, music shows and sitcom that aired from December 2016 to November 2017.",2017 mbc entertain award 2017 mbc entertain award present munhwa broadcast corpor mbc place decemb 29 2017 mbc public hall sangam dong mapo gu seoul. host kim hee chul han jin yang se hyung. nomine chosen mbc varieti music sitcom air decemb 2016 novemb 2017.
20,Arcado,21,arcado,2,"Arcado

Arcado may refer to:",arcado arcado refer
21,Jacy Reese,22,anim,6,"Jacy Reese

Jacy Reese is a writer, social scientist, and co-founder of Sentience Institute. He previously worked as a Senior Fellow at Sentience Politics, and before that at Animal Charity Evaluators as Chair of the Board of Directors and then as a full-time researcher. His research focuses on the topics of for effective altruism, anti-speciesism, and plant-based and cellular agriculture. Reese was recognized as one of Vice’s “Humans of the Year” in December 2017 along with his co-founder Kelly Witwicki.

Sentience Institute is a nonprofit think tank working to understand and facilitate the expansion of humanity’s moral circle to all sentient beings. Since they were founded in June 2017, they have published several research reports including a study of the British antislavery movement, a study of the French nuclear power movement, and a poll of American attitudes towards “animal farming and animal-free food.” The poll was done in collaboration with Ipsos Group and was covered by media for results like that 47% of Americans support “a ban on slaughterhouses.” The organization receives its funding from individual donors and other charities like the Centre for Effective Altruism and the Effective Altruism Foundation.

Reese has also discussed the issue of wild animal suffering, arguing that humans should act on behalf of wild animals to alleviate their suffering if it can be done safely and effectively. His 2015 Vox article on the topic was criticized by writers who argued we shouldn’t intervene or that we should instead focus on helping domestic animals.

In fall 2018, he is publishing his first book, ""The End of Animal Farming"", which “outlines an evidence-based roadmap to a humane, ethical, efficient food system where slaughterhouses are obsolete.”",jaci rees jaci rees writer social scientist founder sentienc institute. work senior fellow sentienc polit anim chariti evalu chair board director time researcher. focu topic effect altruism anti species plant base cellular agriculture. rees recogn vice’ “human year” decemb 2017 founder kelli witwicki. sentienc institut nonprofit tank work understand facilit expans humanity’ moral circl sentient beings. found june 2017 publish report includ studi british antislaveri movement studi french nuclear power movement poll american attitud “anim farm anim free food.” poll collabor ipso group cover medium 47 american support “a ban slaughterhouses.” organ receiv fund individu donor chariti centr effect altruism effect altruism foundation. rees discuss issu wild anim suffer argu human behalf wild anim allevi suffer safe effectively. 2015 vox articl topic critic writer argu shouldn’t interven focu help domest animals. fall 2018 publish book anim farm “outlin evid base roadmap human ethic effici food slaughterhous obsolete.”
22,Cerddor y Tonic Sol ffa,23,tonic,4,"Cerddor y Tonic Sol-ffa

Cerddor y Tonic Sol-ffa was a 19th-century monthly Welsh language magazine. It was first published by R. Hughes and Son in Wrexham in 1869, when it was edited by its founder, Methodist minister and musician John Roberts (also an editor of 'Y Cerddor Cymreig' and of 'Y Goleuad'). He had studied tonic sol-ffa since 1863, and the publication, which contained compositions, and articles about music and musicians, was intended for use by students during tonic-solffa lessons.",cerddor tonic sol ffa cerddor tonic sol ffa 19th centuri monthli welsh languag magazine. publish r. hugh son wrexham 1869 edit founder methodist minist musician john robert editor cerddor cymreig goleuad . studi tonic sol ffa 1863 public contain composit articl music musician intend student tonic solffa lessons.
23,Caldwell Carnegie Library Caldwell Kansas,24,caldwel,4,"Caldwell Carnegie Library (Caldwell, Kansas)

The Caldwell Carnegie Library, located at 13 N. Osage St. in Caldwell, Kansas, was completed in 1912. It was listed on the National Register of Historic Places in 1983.

It is a Carnegie library designed by Wichita architect Fred G. McCune. It is a concrete block building with a brick veneer.",caldwel carnegi librari caldwel kansa caldwel carnegi librari locat 13 n. osag st. caldwel kansa complet 1912. list nation regist histor place 1983. carnegi librari design wichita architect fred g. mccune. concret block build brick veneer.
